
Contract: .migrations
Function Name | Function Signature
OrderAlreadyFrozen   | 0x730d44b1
OrderTypeCannotBeCreated | 0x8a4bd513
UnsupportedOrderType | 0xc1c00831

Contract: OrderVault
Function Name | Function Signature
--------------------------------
EmptyHoldingAddress  | 0xe9b78bd4
EmptyReceiver        | 0xd551823d
EmptyTokenTranferGasLimit | 0x9fc297fa
InvalidNativeTokenSender | 0xe71a51be
SelfTransferNotSupported | 0xe70f9152
TokenTransferError   | 0x979dc780
Unauthorized         | 0xa35b150b
dataStore            | 0x660d0d67
recordTransferIn     | 0x352f9aed
roleStore            | 0x4a4a7b04
syncTokenBalance     | 0xeb40133f
tokenBalances        | 0x523fba7f
transferOut          | 0x078d3b79
transferOut          | 0x2fb12605
transferOutNativeToken | 0xd443ca94

Contract: PositionEventUtils
Function Name | Function Signature
